Date,Price,Change 
2015-09-29,34955.00,-0.16
2015-09-30,34547.00,-1.17
2015-10-01,34544.00,-0.01
2015-10-05,36741.00,6.36
2015-10-06,37333.00,1.61
2015-10-07,37501.00,0.45
2015-10-08,36875.00,-1.67
2015-10-09,36833.00,-0.11
2015-10-12,36981.00,0.40
2015-10-13,37272.00,0.79
2015-10-14,37575.00,0.81
2015-10-15,37513.00,-0.17
2015-10-16,37387.00,-0.34
2015-10-19,36938.00,-1.20
2015-10-20,37042.00,0.28
2015-10-21,36794.00,-0.67
2015-10-22,36920.00,0.34
2015-10-23,36942.00,0.06
2015-10-26,37018.00,0.21
2015-10-27,37064.00,0.12
2015-10-28,37832.00,2.07
2015-10-29,36544.00,-3.40
2015-10-30,36490.00,-0.15
2015-11-02,36191.00,-0.82
2015-11-03,35799.00,-1.08
2015-11-04,35504.00,-0.82
2015-11-05,35500.00,-0.01
2015-11-06,34910.00,-1.66
2015-11-09,34552.00,-1.03
2015-11-10,34272.00,-0.81
2015-11-11,34190.00,-0.24
2015-11-12,33889.00,-0.88
2015-11-13,33845.00,-0.13
2015-11-16,33796.00,-0.14
2015-11-17,33707.00,-0.26
2015-11-18,33562.00,-0.43
2015-11-19,33830.00,0.80
2015-11-20,33589.00,-0.71
2015-11-23,33608.00,0.06
2015-11-24,33889.00,0.84
2015-11-25,33814.00,-0.22
2015-11-26,34081.00,0.79
2015-11-27,33701.00,-1.11
2015-11-30,33480.00,-0.66
2015-12-01,33299.00,-0.54
2015-12-02,33228.00,-0.21
2015-12-03,33477.00,0.75
2015-12-04,34424.00,2.83
2015-12-07,34771.00,1.01
2015-12-08,34373.00,-1.14
2015-12-09,34506.00,0.39
2015-12-10,34215.00,-0.84
2015-12-11,33983.00,-0.68
2015-12-14,33487.00,-1.46
2015-12-15,33593.00,0.32
2015-12-16,34400.00,2.40
2015-12-17,33170.00,-3.58
2015-12-18,33933.00,2.30
2015-12-21,34301.00,1.08
2015-12-22,34286.00,-0.04
2015-12-23,34215.00,-0.21
2015-12-24,34345.00,0.38
2015-12-28,33451.00,-2.60
2015-12-29,33558.00,0.32
2015-12-30,33390.00,-0.50
2015-12-31,33299.00,-0.27
2016-01-01,33335.00,0.11
2016-01-04,33533.00,0.59
2016-01-05,33666.00,0.40
2016-01-06,33774.00,0.32
2016-01-07,34531.00,2.24
2016-01-08,33824.00,-2.05
2016-01-11,33664.00,-0.47
2016-01-12,33389.00,-0.82
2016-01-13,34171.00,2.34
2016-01-14,33638.00,-1.56
2016-01-15,34054.00,1.24
2016-01-18,34096.00,0.12
2016-01-19,34428.00,0.97
2016-01-20,34689.00,0.76
2016-01-21,34374.00,-0.91
2016-01-22,34277.00,-0.28
